#Name                                       RA                  Dec          z         K0       K100      alpha        Tcl       Lbol    UL?        LHa    UL?       Lrad
#--                                      h:m:s                d:m:s         --   keV.cm^2   keV.cm^2         --        keV    erg/sec     --    erg/sec     --    erg/sec
1E0657_56                         06:58:29.627         -55:56:39.79     0.2960     307.45      18.55       1.88      11.64     52.800      ?      0.000      <      8.340
2A_0335+096                       03:38:41.105         +09:58:00.66     0.0347       7.14     138.64       1.52       2.88      9.770      =      2.580      =      1.120
2PIGG_J0011.5-2850                00:11:21.623         -28:51:14.44     0.0753     101.98     214.68       0.84       5.86      2.170      ?      0.000      =      1.680
2PIGG_J2227.0-3041                22:27:54.560         -30:34:34.84     0.0729      17.13     113.95       1.37       2.79      0.810      ?      0.000      =     32.400
3C_28.0                           00:55:50.401         +26:24:36.47     0.1952      23.85     107.82       1.79       3.90      4.830      ?      0.000      =   1630.000
3C_295                            14:11:20.280         +52:12:10.55     0.4641      14.54      81.95       1.47       6.51      7.010      =    232.000      = 203000.000
3C_388                            18:44:02.365         +45:33:29.31     0.0917      17.03     214.30       0.76       3.50      0.529      ?      0.000      =   1290.000
4C_55.16                          08:34:54.923         +55:34:21.15     0.2420      23.27     161.60       1.29       4.21      5.970      =    800.000      =  16100.000
ABELL_13                          00:13:37.883         -19:30:09.10     0.0940     182.64     181.95       1.37       6.51      1.420      ?      0.000      <      0.609
ABELL_68                          00:37:06.475         +09:09:32.28     0.2546     217.34     142.31       0.89       7.99     12.800      <      8.300      <      4.340
ABELL_85                          00:41:50.406         -09:18:10.79     0.0558      12.50     158.83       1.12       6.90      5.300      =      0.431      =      4.610
ABELL_119                         00:56:15.150         -01:14:59.70     0.0442     233.85     191.29       0.75       6.04      1.410      <      0.016      <      0.125
ABELL_133                         01:02:41.756         -21:52:49.79     0.0558      17.26     170.12       1.59       3.71      0.828      =      0.653      <      0.203
ABELL_141                         01:05:34.385         -24:37:58.78     0.2300     205.03      42.56       1.78       5.31      0.000      ?      0.000      <      3.440
ABELL_160                         01:13:00.692         +15:29:15.08     0.0447     155.78     116.26       0.98       2.70      0.000      <      0.213      <      0.102
ABELL_193                         01:25:07.660         +08:41:57.08     0.0485     185.46      35.96       2.23       2.50      0.000      <      0.251      =      1.560
ABELL_209                         01:31:52.565         -13:36:38.79     0.2060     105.50     149.31       0.80       8.28     11.000      ?      0.000      <      3.380
ABELL_222                         01:37:34.562         -12:59:34.88     0.2130     126.02      82.25       1.00       4.60     10.500      <      5.620      <      2.660
ABELL_223                         01:37:55.963         -12:49:10.53     0.2070     183.87     160.65       1.24       5.28     11.200      <      5.290      =     19.800
ABELL_262                         01:52:46.299         +36:09:11.80     0.0164      10.57     205.09       0.98       2.18      1.050      ?      0.000      =      0.435
ABELL_267                         01:52:42.269         +01:00:45.33     0.2300     168.56      51.81       1.82       6.79      8.700      <      6.650      <      4.340
ABELL_368                         02:37:27.640         -26:30:28.99     0.2200      50.87     144.12       1.21       5.62      0.000      ?      0.000      =      6.480
ABELL_370                         02:39:53.169         -01:34:36.96     0.3747     321.92      78.72       1.24       7.20     12.100      ?      0.000      <     13.400
ABELL_383                         02:48:03.364         -03:31:44.69     0.1871      13.02     110.90       1.40       3.93      5.390      ?      0.000      =     44.600
ABELL_399                         02:57:53.382         +13:01:30.86     0.0716     153.20     204.34       0.74       5.80      4.400      <      0.561      <      0.343
ABELL_400                         02:57:41.603         +06:01:27.61     0.0240     162.81      35.26       1.76       2.31      0.851      <      0.060      <      0.028
ABELL_401                         02:58:56.920         +13:34:14.51     0.0745     166.86      81.79       1.40       8.07      8.390      <      0.609      <      0.372
ABELL_426                         03:19:48.194         +41:30:40.73     0.0179      19.38     119.89       1.74       6.79     50.000      =      0.146      =    143.000
ABELL_478                         04:13:25.345         +10:27:55.15     0.0883       7.81     122.00       0.97       7.07     16.700      =      6.030      =      7.870
ABELL_496                         04:33:38.038         -13:15:39.65     0.0328       8.91     216.33       1.27       3.89      0.575      =      0.718      =      3.270
ABELL_520                         04:54:10.303         +02:55:36.48     0.2020     325.54      10.22       2.09       7.40     13.100      <      5.010      <      3.240
ABELL_521                         04:54:06.337         -10:13:16.88     0.2533     259.87     245.43       1.91       6.74      9.850      ?      0.000      <      4.290
ABELL_539                         05:16:37.335         +06:26:25.18     0.0288      22.59     493.32       1.05       3.24      1.820      ?      0.000      <      0.041
ABELL_562                         06:53:21.524         +69:19:51.19     0.1100     202.06      34.61       1.09       3.04      2.140      ?      0.000      <      0.677
ABELL_576                         07:21:30.394         +55:45:41.95     0.0385      95.29     221.21       1.41       4.09      0.470      <      0.157      <      0.094
ABELL_586                         07:32:20.339         +31:37:58.59     0.1710      94.75      92.06       1.25       8.70      8.610      <      3.500      =      4.910
ABELL_611                         08:00:56.832         +36:03:24.09     0.2880     124.93     164.35       1.25       6.69     10.900      <     10.900      <      7.260
ABELL_644                         08:17:25.225         -07:30:40.03     0.0698     132.36      85.91       1.55       6.60      7.610      <      0.346      <      0.325
ABELL_665                         08:30:59.226         +65:50:20.06     0.1810     134.57     106.34       1.06       8.30     13.500      <      3.960      <      2.530
ABELL_697                         08:42:57.549         +36:21:57.65     0.2820     166.67     108.16       1.10       9.06     26.300      <     10.400      <      6.920
ABELL_744                         09:07:20.455         +16:39:06.18     0.0729      63.42     229.33       0.79       2.50      0.891      <      6.490      <      0.282
ABELL_754                         09:09:18.188         -09:41:09.56     0.0543     270.39      69.67       1.48       9.94     33.100      <      0.219      <      0.192
