,Name , K0 , err_minus , err_plus , K100 , err_minus .1, err_plus .1, alpha , err_minus .2, err_plus,Name,z,c500,err.7,c,err.8,K_fit_range,RA,DEC,
151,_HB89__1821+643,-27.37057355,7.264110886,7.264110886,182.0361927,12.22293819,12.22293819,0.975988247,0.051164307,0.051164307,_HB89__1821+643,0.297,9.802,0.145,13.281,0.158,0,18:21:57.015      ,64:20:37.80       ,
319,1RXS_J111039.6+284316,64.27205721,9.24583912,9.24583912,84.5374808,44.6147753,44.6147753,1.463756454,0.39748057,0.39748057,1RXS_J111039.6+284316,0.022,-,-,-,-,0,11:10:40.556      ,28:42:49.63    ,
94,2MASSi_J0913454+405628,23.53436616,2.754219873,2.754219873,96.23217487,5.776473757,5.776473757,1.16217727,0.045663673,0.045663673,2MASSi_J0913454+405628,0.4422,14.228,0.361,23.2,0.514,0,9:13:45.729       ,40:56:29.64   ,
240,2MASX_J13312961+1107566,4.504181776,1.405580181,1.405580181,130.1278693,37.76617429,37.76617429,1.462251307,0.28513671,0.28513671,2MASX_J13312961+1107566,0.079,6.713,1.993,-,-,0,13:31:29.686      ,11:07:54.95  ,
52,2MFGC_06756,12.46902944,1.186802241,1.186802241,95.62525224,3.372548196,3.372548196,1.176878546,0.034450266,0.034450266,2MFGC_06756,0.2411,5.755,0.15,18.765,0.269,0,8:34:54.924       ,55:34:21.14       ,
84,3C_089,30.85529989,5.532269199,5.532269199,214.2967768,11.18197454,11.18197454,1.347145412,0.07673027,0.07673027,3C_089,0.1386,5.43,0.328,-,-,18,3:34:14.997       ,-1:11:17.39       ,
67,3C_444,0.958330637,1.150248939,1.150248939,151.8677249,3.52493297,3.52493297,1.019097948,0.039353312,0.039353312,3C_444,0.153,3.516,0.116,11.596,0.222,0,22:14:26.966      ,-17:01:32.33      ,
276,a1750ss,34.9011651,69.70081612,69.70081612,186.1904372,91.10164655,91.10164655,0.579696894,0.360851424,0.360851424,a1750ss,0.0914,-,-,0.308,0.028,0,13:30:10.187      ,-2:06:15.72       ,
237,A1882a,61.30445118,63.35159838,63.35159838,189.6569586,97.28143655,97.28143655,0.529485311,0.356491924,0.356491924,A1882a,0.1405,-,-,-,-,0,14:15:08.352      ,-0:29:35.06       ,
135,ABELL_0013,130.0141494,31.30044385,31.30044385,156.9892821,51.94984303,51.94984303,0.782595781,0.219033823,0.219033823,ABELL_0013,0.0943,2.067,0.153,5.96,0.185,0,0:13:37.884       ,-19:30:09.11      ,
107,ABELL_0098N,10.59804958,5.927946337,5.927946337,179.603012,13.00642367,13.00642367,0.981790802,0.096817675,0.096817675,ABELL_0098N,0.1043,25.033,1.348,-,-,0,0:46:24.685       ,20:37:19.62       ,
1,ABELL_0141,158.7828692,28.16145174,28.16145174,61.33985631,34.69434152,34.69434152,1.395779147,0.285497168,0.285497168,ABELL_0141,0.23,8,0.607,7.657,0.585,9,1:05:34.385       ,-24:37:58.76      ,
164,ABELL_0193,134.9381158,9.008462636,9.008462636,43.89636156,16.1177522,16.1177522,1.558925862,0.292510921,0.292510921,ABELL_0193,0.0486,1.716,0.134,3.867,0.124,0,1:25:07.661       ,8:41:57.08        ,
178,ABELL_0209,86.64448655,24.7236544,24.7236544,165.6137223,30.61696515,30.61696515,0.81233596,0.083066092,0.083066092,ABELL_0209,0.206,3.897,0.199,4.963,0.213,0,1:31:52.565       ,-13:36:38.81      ,
247,ABELL_0262,3.562278379,0.137773791,0.137773791,484.1879031,26.60942718,26.60942718,1.459317005,0.026312422,0.026312422,ABELL_0262,0.0174,1.694,0.092,5.66,0.052,30,1:52:46.298       ,36:09:11.81       ,
147,ABELL_0267,148.3987313,16.48685341,16.48685341,54.92978624,15.01958328,15.01958328,1.745325439,0.147968437,0.147968437,ABELL_0267,0.231,5.321,0.306,8.277,0.392,0,1:52:42.269       ,1:00:45.32        ,
74,ABELL_0370,256.6987849,27.69287741,27.69287741,42.27983287,25.61404957,25.61404957,1.61437394,0.235666004,0.235666004,ABELL_0370,0.375,2.344,0.149,4.682,0.202,9,2:39:53.170       ,-1:34:36.95       ,
270,ABELL_0376,61.9354365,16.64442709,16.64442709,178.4937574,32.28772136,32.28772136,0.869336298,0.156872363,0.156872363,ABELL_0376,0.0484,4.866,0.458,-,-,0,2:46:03.946       ,36:54:19.75       ,
126,ABELL_0383,10.28028318,1.046514239,1.046514239,117.5853178,3.731703589,3.731703589,1.253326308,0.041334146,0.041334146,ABELL_0383,0.1871,6.606,0.195,16.587,0.303,13,2:48:03.365       ,-3:31:44.69       ,
251,ABELL_0400,86.2008004,20.89855289,20.89855289,104.4408632,45.91919677,45.91919677,0.939055272,0.587580084,0.587580084,ABELL_0400,0.0244,1.372,0.25,22.633,0.906,20,2:57:41.604       ,6:01:27.62        ,
4,ABELL_0401,154.5969414,14.17117746,14.17117746,115.7066581,17.37923886,17.37923886,0.93961686,0.097842407,0.097842407,ABELL_0401,0.0737,1.149,0.055,5.424,0.035,2,2:58:56.921       ,13:34:14.52       ,
102,ABELL_0402,115.2405205,24.78549945,24.78549945,87.15336628,30.74499896,30.74499896,1.201735443,0.191550519,0.191550519,ABELL_0402,0.3224,13.404,0.642,10.941,0.56,0,2:57:41.023       ,-22:09:11.12      ,
185,ABELL_0478,11.57978767,0.910438681,0.910438681,216.320721,33.58485389,33.58485389,1.549214977,0.129679373,0.129679373,ABELL_0478,0.0881,3.749,0.053,8.783,0.056,41,4:13:25.344       ,10:27:55.15       ,
186,ABELL_0496,4.568647494,0.329804919,0.329804919,146.2622504,1.604872638,1.604872638,0.983605128,0.014031227,0.014031227,ABELL_0496,0.0329,2.073,0.057,6.7,0.042,0,4:33:38.038       ,-13:15:39.64      ,
197,ABELL_0545,146.987437,21.96059218,21.96059218,114.0489179,28.33774231,28.33774231,0.893623998,0.124579761,0.124579761,ABELL_0545,0.154,2.433,0.132,4.258,0.11,2,5:32:25.302       ,-11:32:32.72      ,
98,ABELL_0548A,23.65768001,10.14199693,10.14199693,170.6528077,20.1119596,20.1119596,0.919525298,0.172796696,0.172796696,ABELL_0548A,0.0395,6.426,0.918,-,-,0,5:48:38.315       ,-25:28:40.37      ,
37,ABELL_0550,120.2468801,24.38474436,24.38474436,102.0038113,32.61469902,32.61469902,1.013810598,0.180704792,0.180704792,ABELL_0550,0.099,2.098,0.258,7.009,0.351,0,5:52:51.539       ,-21:03:13.04      ,
