Cluster_name,r_kpc,rerr_kpc,kT_keV,kT_err_minus,kT_err_plus,ne_g_cm3,ne_err_minus,ne_err_plus,K,K_err_minus,K_err_plus,RA,DEC
--,kpc,kpc,keV,keV,keV,g cm3,g cm3,g cm3,keV cm2,keV cm2,keV cm2,deg,deg
--,--,--,--,--,--,--,--,--,--,--,--,--,--
Ophiuchus_CLUSTER,1.405,1.405,2.391,0.075,0.07,0.2009,0.002133,0.002156,6.969,0.251,0.27,258.11555,-23.36854
Ophiuchus_CLUSTER,4.215,1.405,4.006,0.141,0.141,0.07266,0.00105,0.001065,23.006,1.021,1.045,258.11555,-23.36854
Ophiuchus_CLUSTER,7.024,1.405,5.439,0.206,0.206,0.0461,0.000856,0.0008722,42.302,2.098,2.165,258.11555,-23.36854
Ophiuchus_CLUSTER,9.834,1.405,5.826,0.277,0.197,0.03601,0.0006738,0.0006866,53.422,2.44,3.263,258.11555,-23.36854
Ophiuchus_CLUSTER,12.644,1.405,6.457,0.302,0.302,0.03225,0.0005531,0.0005627,63.73,3.666,3.768,258.11555,-23.36854
Ophiuchus_CLUSTER,15.454,1.405,7.113,0.288,0.288,0.02663,0.0004976,0.0005071,79.765,4.168,4.3,258.11555,-23.36854
Ophiuchus_CLUSTER,18.263,1.405,7.418,0.501,0.28,0.02481,0.0004281,0.0004357,87.2,4.243,6.995,258.11555,-23.36854
Ophiuchus_CLUSTER,21.073,1.405,7.667,0.439,0.352,0.02169,0.0004109,0.0004188,98.586,5.696,7.009,258.11555,-23.36854
Ophiuchus_CLUSTER,23.883,1.405,7.78,0.418,0.373,0.0212,0.000349,0.0003548,101.566,5.916,6.668,258.11555,-23.36854
Ophiuchus_CLUSTER,26.693,1.405,8.214,0.417,0.417,0.01936,0.0003289,0.0003346,113.942,6.993,7.184,258.11555,-23.36854
Ophiuchus_CLUSTER,29.503,1.405,8.374,0.41,0.41,0.01768,0.0003092,0.0003147,123.407,7.391,7.602,258.11555,-23.36854
Ophiuchus_CLUSTER,32.312,1.405,10.293,0.674,0.674,0.01734,0.0002904,0.0002953,153.612,11.639,11.944,258.11555,-23.36854
Ophiuchus_CLUSTER,35.122,1.405,8.896,0.432,0.432,0.0158,0.000283,0.0002882,141.269,8.441,8.689,258.11555,-23.36854
Ophiuchus_CLUSTER,37.932,1.405,9.094,0.44,0.437,0.01597,0.0002541,0.0002582,143.418,8.321,8.582,258.11555,-23.36854
Ophiuchus_CLUSTER,40.742,1.405,9.669,0.662,0.491,0.01337,0.0002696,0.0002752,171.629,10.869,14.311,258.11555,-23.36854
Ophiuchus_CLUSTER,43.551,1.405,10.803,0.654,0.654,0.01368,0.0002408,0.0002451,188.901,13.489,13.866,258.11555,-23.36854
Ophiuchus_CLUSTER,46.361,1.405,9.875,0.633,0.516,0.01216,0.0002429,0.0002479,186.71,12.074,14.714,258.11555,-23.36854
Ophiuchus_CLUSTER,49.171,1.405,9.933,0.648,0.538,0.01195,0.0002313,0.0002359,190.059,12.578,15.109,258.11555,-23.36854
Ophiuchus_CLUSTER,51.981,1.405,9.482,0.56,0.415,0.01165,0.0002212,0.0002255,184.535,10.276,13.462,258.11555,-23.36854
Ophiuchus_CLUSTER,54.79,1.405,9.158,0.389,0.389,0.01132,0.0002078,0.0002117,181.699,9.816,10.118,258.11555,-23.36854
Ophiuchus_CLUSTER,57.6,1.405,11.301,0.637,0.632,0.01132,0.0001998,0.0002034,224.206,14.994,15.519,258.11555,-23.36854
Ophiuchus_CLUSTER,60.41,1.405,11.105,0.628,0.628,0.01111,0.0001902,0.0001935,223.103,14.986,15.395,258.11555,-23.36854
Ophiuchus_CLUSTER,63.22,1.405,11.145,0.608,0.608,0.01041,0.0001884,0.0001918,233.735,15.377,15.826,258.11555,-23.36854
Ophiuchus_CLUSTER,66.03,1.405,9.821,0.601,0.513,0.0101,0.0001826,0.0001859,210.128,13.34,15.637,258.11555,-23.36854
Ophiuchus_CLUSTER,68.839,1.405,10.235,0.597,0.597,0.0109,0.000162,0.0001645,208.223,14.065,14.391,258.11555,-23.36854
Ophiuchus_CLUSTER,71.649,1.405,10.386,0.582,0.582,0.01011,0.0001618,0.0001644,222.112,14.653,15.024,258.11555,-23.36854
Ophiuchus_CLUSTER,74.459,1.405,10.087,0.598,0.574,0.009976,0.0001574,0.0001599,217.667,14.518,15.402,258.11555,-23.36854
Ophiuchus_CLUSTER,77.269,1.405,9.914,0.57,0.494,0.009054,0.0001611,0.000164,228.226,13.907,16.081,258.11555,-23.36854
Ophiuchus_CLUSTER,80.078,1.405,10.248,0.584,0.584,0.009678,0.0001459,0.0001481,225.654,14.971,15.324,258.11555,-23.36854
Ophiuchus_CLUSTER,82.888,1.405,10.198,0.557,0.557,0.009172,0.0001438,0.0001461,232.742,14.982,15.353,258.11555,-23.36854
Ophiuchus_CLUSTER,85.698,1.405,9.913,0.561,0.493,0.009703,0.0001307,0.0001324,217.909,12.675,14.451,258.11555,-23.36854
Ophiuchus_CLUSTER,88.508,1.405,9.471,0.519,0.381,0.008532,0.0001443,0.0001468,226.828,11.546,15.215,258.11555,-23.36854
Ophiuchus_CLUSTER,91.317,1.405,9.998,0.581,0.53,0.009742,0.0001208,0.0001223,219.183,13.318,14.699,258.11555,-23.36854
Ophiuchus_CLUSTER,94.127,1.405,10.812,0.577,0.577,0.008132,0.0001371,0.0001394,267.373,17.073,17.534,258.11555,-23.36854
Ophiuchus_CLUSTER,96.937,1.405,9.773,0.588,0.473,0.008635,0.0001247,0.0001265,232.201,13.34,16.404,258.11555,-23.36854
