name,RA_h,RA_m,RA_s,DecSign,DecAbsDeg,DEC_m,DEC_s,RA_deg,DEC_deg,redshift,Rin,Rout,scaleR,R2500,R2500e,R500,R500e,T2500,T2500e,T500,T500e,K0,K0err,K100,K100err,spec_kT,spec_kT_err,spec_Z,spec_Z_err,Fx,Fx_err,Lx,Lx_err,LXrest,LXrest_err,LXbol,LXbol_err,radial_profile,dof,spec_X2r,max_ap,wtkT,wtkTe,wtZ,wtZe,obsIDs_good,obsIDs_all
--,h,m,s,DE-,DEd,m,s,degree,degree,--,scaleR,scaleR,--,kpc,kpc,kpc,kpc,keV,keV,keV,keV,keV cm2,keV cm2,keV cm2,keV cm2,keV,keV,Zsun,Zsun,erg/s/cm2,erg/s/cm2,erg/s,erg/s,erg/s,erg/s,erg/s,erg/s,--,--,--,arcmin,keV,keV,Zsun,Zsun,--,--
ACCEPT2 cluster name,Right Ascension J2000 (hours),Right Ascension J2000 (minutes),Right Ascension J2000 (seconds),Declination J2000 (sign),Declination J2000 (degrees),Declination J2000 (minutes),Declination J2000 (Seconds),Right Ascension J2000 (decimal degrees),Declination J2000 (decimal degrees),Redshift,Inner radius,Outer radius,Radius scale,R2500 radius,R2500 radius error,R500 radius,R500 radius error,Average temperature R2500,Average temperature R2500 error,Average temperature R500,Average temperature R500 error,Central entropy,Central entropy error,Entropy at 100kpc,Entropy at 100kpc error,Temperature,Temperature error,Metallicity,Metallicity error,--,--,--,--,--,--,--,--,--,--,--,Maximum aperature,--,--,--,--,observation ID,observation ID
NSCS_J000619+105206,0,6,20.3,+,10,51,51.46,1.58454,10.86429,0.167,0.3,1,R2500     ,466,23,1055,52,5.152,0.405,5.172,0.405,58.4,11.1,135.6,17.2,5.184,0.399,3.50E-01,9.20E-02,2.45E-12,9.52E-14,1.85E+44,7.18E+42,1.82E+44,7.08E+42,2.48E+44,9.62E+42,./proj_profs/NSCS_J000619+105206_kTZ.dat,1022,1.073,2.75,nan,nan,nan,nan,[12251]   ,[12251]
ABELL_2734_NED01,0,11,21.6,-,28,51,15.09,2.84019,-28.85419,0.026,0.3,1,R2500     ,487,13,1064,33,4.963,0.204,4.662,0.207,nan,nan,154,24.2,3.534,0.287,1.11E-01,7.50E-02,4.88E-12,2.66E-13,7.33E+42,4.00E+41,7.33E+42,4.00E+41,9.67E+42,5.28E+41,./proj_profs/ABELL_2734_NED01_kTZ.dat,1022,3.562,15.724,nan,nan,nan,nan,[5797]    ,[5797]
ZwCl_0008.8+5215,0,11,27.5,+,52,31,35.38,2.86474,52.52649,0.104,0.3,1,R2500     ,456,18,1026,42,4.697,0.298,4.651,0.295,170.5,40.8,114.9,53.5,4.711,0.3,1.64E-01,8.70E-02,2.75E-12,1.11E-13,7.39E+43,3.00E+42,7.35E+43,2.98E+42,9.86E+43,4.00E+42,./proj_profs/ZwCl_0008.8+5215_kTZ.dat,1022,1.264,4.028,nan,nan,nan,nan,[15318]   ,[15318]
MACS_J0011.7-1523,0,11,42.9,-,15,23,21.11,2.92862,-15.3892,0.378,0.3,1,R2500     ,451,22,1011,51,5.889,0.398,5.85,0.406,nan,nan,139.3,14.3,5.892,0.399,2.71E-01,6.60E-02,1.28E-12,4.11E-14,6.23E+44,2.01E+43,6.03E+44,1.94E+43,8.41E+44,2.71E+43,./proj_profs/MACS_J0011.7-1523_kTZ.dat,2047,1.132,1.456,nan,nan,nan,nan,[3261  6105],[3261  6105]
ABELL_0013,0,13,38.4,-,19,30,1.87,3.40981,-19.50052,0.094,0.3,1,R2500     ,461,17,1017,32,4.753,0.271,4.538,0.201,130,31.3,157,51.9,4.767,0.257,2.40E-01,5.80E-02,2.89E-12,7.33E-14,6.31E+43,1.60E+42,6.26E+43,1.59E+42,8.41E+43,2.13E+42,./proj_profs/ABELL_0013_kTZ.dat,1022,1.048,4.446,5.032,0.635,0.209,0.124,[4945]    ,[4945]
ABELL_2744,0,14,19.4,-,30,23,27.22,3.58069,-30.39089,0.308,0.3,1,R2500     ,640,24,1410,71,10.413,0.478,10.221,0.496,nan,nan,240.9,140.4,10.481,0.429,2.69E-01,4.00E-02,4.74E-12,5.93E-14,1.43E+45,1.79E+43,1.31E+45,1.64E+43,2.19E+45,2.74E+43,./proj_profs/ABELL_2744_kTZ.dat,4097,1.234,2.369,10.245,0.77,0.299,0.102,[2212  8477  8557  7915],[2212  7915  8477  8557]
SPT-CLJ0014-4952,0,14,48.9,-,49,53,1.62,3.7037,-49.88378,0.752,0.3,1,R2500     ,388,48,856,89,6.538,0.964,6.34,0.793,nan,nan,nan,nan,6.88,0.966,4.06E-01,1.62E-01,2.17E-13,1.43E-14,5.63E+44,3.70E+43,5.25E+44,3.45E+43,7.61E+44,5.00E+43,None      ,1022,1.096,0.879,nan,nan,nan,nan,[13471]   ,[13471]
Cl_0016+16,0,18,33.7,+,16,26,9.16,4.64022,16.43588,0.541,0.3,1,R2500     ,557,36,1237,92,10.188,0.823,10.124,0.853,165.5,19.8,56.2,16,9.727,0.745,1.98E-01,6.30E-02,1.60E-12,3.51E-14,1.84E+45,4.05E+43,1.63E+45,3.59E+43,2.65E+45,5.84E+43,./proj_profs/Cl_0016+16_kTZ.dat,1022,0.964,1.465,nan,nan,nan,nan,[520]     ,[520]
